LATITUDE MIN,LATITUDE MAX,LONGITUDE MIN,LONGITUDE MAX,AGE ESTIMATE (Ma),AGE ESTIMATE UNCERTAINTY (Ma),NUMERICAL (0) OR LABEL (1) FLAG
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-77.1,-77.1,-126.1,-126.1,33.0,33.0,1.0
-76.5,-76.5,-126.0,-126.0,33.0,33.0,1.0
-76.5,-76.5,-126.0,-126.0,33.0,33.0,1.0
-76.5,-76.5,-126.0,-126.0,33.0,33.0,1.0
-76.7,-76.7,-117.8,-117.8,33.0,33.0,1.0
-75.17,-75.17,-133.58,-133.58,33.0,33.0,1.0
-75.0,-77.0,-110.0,-135.0,33.0,33.0,1.0
-75.1,-75.1,-133.8,-133.8,33.0,33.0,1.0
-75.0,-75.0,-133.7,-133.7,33.0,33.0,1.0
-76.42,-76.42,-126.0,-126.0,33.0,33.0,1.0
-75.33,-75.33,-110.75,-110.75,33.0,33.0,1.0
-76.7,-76.7,-117.8,-117.8,33.0,33.0,1.0
-75.0,-77.0,-110.0,-135.0,33.0,33.0,1.0
-75.1,-75.1,-133.8,-133.8,33.0,33.0,1.0
-75.0,-75.0,-133.7,-133.7,33.0,33.0,1.0
-76.42,-76.42,-126.0,-126.0,33.0,33.0,1.0
-76.6,-76.6,-117.75,-117.75,2.54,-0.0,0.0
-76.6,-76.6,-117.75,-117.75,2.52,-0.0,0.0
-76.6,-76.6,-117.75,-117.75,3.88,-0.0,0.0
-76.6,-76.6,-117.75,-117.75,1.81,-0.0,0.0
-76.6,-76.6,-117.75,-117.75,0.85,-0.0,0.0
-76.6,-76.6,-117.75,-117.75,1.6,-0.0,0.0
-76.7,-76.7,-117.8,-117.8,7.38,-0.0,0.0
-76.7,-76.7,-117.8,-117.8,6.41,-0.0,0.0
-77.17,-77.17,-126.9,-126.9,0.3,-0.0,0.0
-78.28,-78.28,-112.08,-112.08,0.1,-0.0,0.0
-78.28,-78.28,-112.08,-112.08,0.1,-0.0,0.0
-78.28,-78.28,-112.08,-112.08,0.1,-0.0,0.0
-76.0,-76.0,-135.8,-135.8,33.0,33.0,1.0
-76.0,-76.0,-135.8,-135.8,33.0,33.0,1.0
-76.0,-76.0,-135.8,-135.8,33.0,33.0,1.0
-76.0,-76.0,-135.8,-135.8,33.0,33.0,1.0
-76.0,-76.0,-135.8,-135.8,33.0,33.0,1.0
-76.0,-76.0,-135.8,-135.8,33.0,33.0,1.0
-76.0,-76.0,-135.8,-135.8,33.0,33.0,1.0
-78.28,-78.28,-112.08,-112.08,33.0,33.0,1.0
-78.28,-78.28,-112.08,-112.08,33.0,33.0,1.0
-78.28,-78.28,-112.08,-112.08,33.0,33.0,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-71.0,-71.0,161.0,161.0,12.805,10.225000000000001,1.0
-71.0,-71.0,161.0,161.0,12.805,10.225000000000001,1.0
-71.0,-71.0,161.0,161.0,12.805,10.225000000000001,1.0
-71.0,-71.0,161.0,161.0,12.805,10.225000000000001,1.0
-71.0,-71.0,161.0,161.0,12.805,10.225000000000001,1.0
-71.0,-71.0,163.0,163.0,12.805,10.225000000000001,1.0
-71.0,-71.0,163.0,163.0,12.805,10.225000000000001,1.0
-71.5,-71.5,162.0,162.0,12.805,10.225000000000001,1.0
-71.5,-71.5,162.0,162.0,12.805,10.225000000000001,1.0
-71.5,-71.5,162.0,162.0,12.805,10.225000000000001,1.0
-71.5,-71.5,162.0,162.0,12.805,10.225000000000001,1.0
-71.5,-71.5,163.0,163.0,12.805,10.225000000000001,1.0
-71.5,-71.5,163.0,163.0,12.805,10.225000000000001,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-73.4883,-73.4883,169.5767,169.5767,12.805,10.225000000000001,1.0
-71.5,-71.5,162.0,162.0,12.805,10.225000000000001,1.0
-71.5,-71.5,162.0,162.0,12.805,10.225000000000001,1.0
-71.5,-71.5,163.0,163.0,12.805,10.225000000000001,1.0
-70.85,-70.85,67.98,67.98,113.5,3.5,0.0
-70.85,-70.85,67.98,67.98,113.5,3.5,0.0
-70.85,-70.85,67.98,67.98,113.5,3.5,0.0
-70.5,-70.5,68.83,68.83,113.5,3.5,0.0
-70.5,-70.5,68.83,68.83,113.5,3.5,0.0
-70.5,-70.5,68.85,68.85,113.5,3.5,0.0
-70.53,-70.53,68.85,68.85,113.5,3.5,0.0
-70.53,-70.53,68.85,68.85,113.5,3.5,0.0
-76.6,-76.6,-117.75,-117.75,1.6,-0.0,0.0
-76.5,-76.5,-126.0,-126.0,11.4,-0.0,0.0
-76.6,-76.6,-117.75,-117.75,9.0,-0.0,0.0
-75.1,-75.1,-133.6,-133.6,81.81,-0.0,0.0
-75.0,-75.0,-133.7,-133.7,6.3,-0.0,0.0
-75.0,-75.0,-133.7,-133.7,5.46,-0.0,0.0
-75.2167,-75.2167,-133.667,-133.667,9.9,-0.0,0.0
-75.17,-75.17,-133.58,-133.58,4.7,-0.0,0.0
-76.67,-76.67,-118.07,-118.07,9.34,-0.0,0.0
-77.0,-77.0,-117.0,-117.0,2.54,-0.0,0.0
