Data Number,Codes,Site Name,Latitude,Longitude,Elevation,minD,maxD,No. Temps,Gradient,No. Cond.,Conductivity,No.Heat Prod.,Heat Prod.,Heat Flow,No. sites,Year of Pub.,Reference,Comments,,
126,,LFG-37,54.2167,-135.45,-2900,,2,2,135,,0.84,,,113,1,1962,Foster1962,Foster1962,*,Bullard probe
127,,LFG-38,54.1167,-135.85,-2740,,2,2,122,,0.75,,,92,1,1962,Foster1962,Foster1962,*,Bullard probe
128,,LFG-39,53.1167,-133.45,-2900,,2,2,94,,0.71,,,67,1,1962,Foster1962,Foster1962,*,Bullard probe
129,,LFG-40,53.25,-133.5,-2910,,2,2,61,,0.75,,,46,1,1962,Foster1962,Foster1962,*,Bullard probe
130,,LFG-41,50.0667,-132.4167,-3100,,2,2,30,,0.96,,,29,1,1962,Foster1962,Foster1962,*,Bullard probe
131,,LFG-42,48.3167,-131.6333,-3050,,2,2,52,,0.96,,,50,1,1962,Foster1962,Foster1962,*,Bullard probe
132,,LFG-43,46.25,-131.9833,-3290,,2,2,36,,0.92,,,34,1,1962,Foster1962,Foster1962,*,Bullard probe
133,,LFG-44,43.85,-130.9167,-3320,,2,2,145,,0.92,,,134,1,1962,Foster1962,Foster1962,*,Bullard probe
134,,LFG-45,42.3167,-130.65,-3430,,2,2,24,,0.88,,,21,1,1962,Foster1962,Foster1962,*,Bullard probe
135,,LFG-46,40.6,-130.4333,-3760,,2,2,5,,0.84,,,4,1,1962,Foster1962,Foster1962,*,Bullard probe
136,,LFG-47,40.5833,-129.3667,-3240,,2,2,171,,0.88,,,151,1,1962,Foster1962,Foster1962,*,Bullard probe
137,,LFG-48,38.5833,-127.75,-4630,,2,2,30,,0.84,,,25,1,1962,Foster1962,Foster1962,*,Bullard probe
138,,LFG-50,36.3167,-125.9333,-4620,,2,2,111,,0.75,,,84,1,1962,Foster1962,Foster1962,*,Bullard probe
139,,A-282-3,23.3333,-70.0417,-5480,,,2,54,,0.88,,,47,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
140,,A-282-5,23.4667,-72.3083,-5300,,,2,66,,0.74,,,49,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
141,,A-282-6,25.225,-73.2667,-5310,,,2,53,,0.85,,,45,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
142,,A-282-7,26.9833,-72.2167,-5150,,,2,58,,0.78,,,46,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
143,,A-282-9,25.3,-69.0167,-5580,,,2,55,,0.88,,,49,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
144,,A-282-10,23.6167,-67.9,-5650,,,2,53,,0.84,,,44,1,1963,Reitzel1963,Reitzel1961,,Bullard probe
145,,A-282-11,21.7833,-68.85,-5560,,,2,61,,0.88,,,53,1,1963,Reitzel1963,Reitzel1963,,Ewing probe
